reporter_iso3,reporter_name,reference_year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp,has_gdp_data,has_population_data,has_gdp_growth_data,has_trade_pct_gdp_data
BEN,Benin,2020,15686741884.0,13070169,3.8487924,44.83323338,True,True,True,True
BEN,Benin,2021,17687623530.0,13413417,7.155451646,48.05486083,True,True,True,True
BEN,Benin,2022,17425405091.0,13759501,6.252947054,44.38159289,True,True,True,True
BEN,Benin,2023,19673291004.0,14111034,6.352777385,44.66313082,True,True,True,True
BEN,Benin,2024,21482643706.0,14462724,7.453115662,40.63980224,True,True,True,True
BFA,Burkina Faso,2015,11832159316.0,18777487,3.921228794,59.08918131,True,True,True,True
BFA,Burkina Faso,2016,12833363045.0,19334856,5.957976708,57.8931728,True,True,True,True
BFA,Burkina Faso,2017,14106955615.0,19894407,6.203489411,59.2687802,True,True,True,True
BFA,Burkina Faso,2018,15890066221.0,20438288,6.604569068,60.59562562,True,True,True,True
BFA,Burkina Faso,2019,16032813503.0,20961952,5.889204971,60.40869288,True,True,True,True
BFA,Burkina Faso,2020,17725010533.0,21478690,2.010772624,60.73977864,True,True,True,True
BFA,Burkina Faso,2021,19697516284.0,21995243,6.942524926,62.42035866,True,True,True,True
BFA,Burkina Faso,2022,18622421395.0,22509038,1.626732582,67.52029013,True,True,True,True
BFA,Burkina Faso,2023,20106062972.0,23025776,3.000274158,63.15304359,True,True,True,True
BFA,Burkina Faso,2024,23136514856.0,23548781,4.833958102,60.49289885,True,True,True,True
BGD,Bangladesh,2015,195147000000.0,159383179,6.552639878,42.08599631,True,True,True,True
BGD,Bangladesh,2016,265225000000.0,160811932,7.113478213,31.33415013,True,True,True,True
BGD,Bangladesh,2017,293732000000.0,162186147,6.590249998,29.99973067,True,True,True,True
BGD,Bangladesh,2018,321363000000.0,163523103,7.31941263,32.51463172,True,True,True,True
BGD,Bangladesh,2019,351232000000.0,164913055,7.881915151,31.57805449,True,True,True,True
BGD,Bangladesh,2020,373979000000.0,166298024,3.448017551,26.27144738,True,True,True,True
BGD,Bangladesh,2021,416272000000.0,167658854,6.938679124,27.7240047,True,True,True,True
BGD,Bangladesh,2022,460132000000.0,169384897,7.099828776,33.77996727,True,True,True,True
BGD,Bangladesh,2023,437415000000.0,171466990,5.77511237,30.98297141,True,True,True,True
BGD,Bangladesh,2024,450119000000.0,173562364,4.223259113,26.7780758,True,True,True,True
BGR,Bulgaria,2015,50768512173.0,6984225,3.39755352,126.7366523,True,True,True,True
BGR,Bulgaria,2016,53932152154.0,6894139,3.026628201,122.8055191,True,True,True,True
BGR,Bulgaria,2017,59170671046.0,6803468,2.745927378,129.6344338,True,True,True,True
BGR,Bulgaria,2018,66100606677.0,6710798,2.330150542,129.1665022,True,True,True,True
BGR,Bulgaria,2019,68511235459.0,6616726,3.793319646,125.2604151,True,True,True,True
BGR,Bulgaria,2020,70490478088.0,6550696,-3.133235431,110.4239031,True,True,True,True
BGR,Bulgaria,2021,84378926047.0,6507301,7.828173107,121.214091,True,True,True,True
BGR,Bulgaria,2022,90510784778.0,6465097,4.083863981,138.8448728,True,True,True,True
BGR,Bulgaria,2023,102204000000.0,6446596,1.681510758,119.8995059,True,True,True,True
BGR,Bulgaria,2024,113349000000.0,6441421,3.38708962,110.2263177,True,True,True,True
BHR,Bahrain,2015,32523297872.0,1370322,2.507872053,147.9160602,True,True,True,True
BHR,Bahrain,2016,33884680851.0,1423726,3.814993274,132.8229979,True,True,True,True
BHR,Bahrain,2017,37204813830.0,1501116,4.953835341,136.4292398,True,True,True,True
BHR,Bahrain,2018,39567978723.0,1503091,2.05258865,144.0753726,True,True,True,True
BHR,Bahrain,2019,40446808511.0,1483756,2.052877744,135.4175434,True,True,True,True
BHR,Bahrain,2020,35837632979.0,1472204,-5.911362952,135.460985,True,True,True,True
BHR,Bahrain,2021,40840212766.0,1504365,4.350040917,153.7993165,True,True,True,True
BHR,Bahrain,2022,46458191489.0,1524693,6.180161255,167.1412412,True,True,True,True
BHR,Bahrain,2023,46192260638.0,1577059,3.878116148,157.4478547,True,True,True,True
BHR,Bahrain,2024,47210732713.0,1588670,2.897105432,157.4808694,True,True,True,True
BHS,"Bahamas, The",2015,11837600000.0,385346,0.997411675,69.67797527,True,True,True,True
BHS,"Bahamas, The",2016,11880900000.0,388055,-1.156508113,67.21292158,True,True,True,True
BHS,"Bahamas, The",2017,12446900000.0,390485,3.371398846,68.33428404,True,True,True,True
BHS,"Bahamas, The",2018,12819200000.0,392717,2.397955108,72.1542686,True,True,True,True
BHS,"Bahamas, The",2019,13277000000.0,394675,-0.838585871,68.78662348,True,True,True,True
BHS,"Bahamas, The",2020,10363200000.0,395863,-20.08936649,53.42075807,True,True,True,True
BHS,"Bahamas, The",2021,12037000000.0,396373,17.586139,65.93254133,True,True,True,True
BHS,"Bahamas, The",2022,13896800000.0,397538,10.87790094,75.98296011,True,True,True,True
BHS,"Bahamas, The",2023,15271300000.0,399440,3.048241806,76.54947516,True,True,True,True
BHS,"Bahamas, The",2024,15832800000.0,401283,3.378665533,79.24245869,True,True,True,True
BIH,Bosnia and Herzegovina,2015,16404348361.0,3518541,4.284130161,88.29199259,True,True,True,True
BIH,Bosnia and Herzegovina,2016,17116926554.0,3473003,3.242258222,88.244034,True,True,True,True
BIH,Bosnia and Herzegovina,2017,18326373136.0,3428682,3.244098953,96.64588036,True,True,True,True
BIH,Bosnia and Herzegovina,2018,20484058033.0,3387000,3.829003993,98.43206942,True,True,True,True
BIH,Bosnia and Herzegovina,2019,20482608984.0,3345533,2.885852421,94.51612515,True,True,True,True
BIH,Bosnia and Herzegovina,2020,20226038370.0,3299349,-3.015093355,82.5216468,True,True,True,True
BIH,Bosnia and Herzegovina,2021,23672712121.0,3244907,7.391642565,96.73911444,True,True,True,True
BIH,Bosnia and Herzegovina,2022,24534663636.0,3204802,4.226813334,110.2052837,True,True,True,True
BIH,Bosnia and Herzegovina,2023,27592361498.0,3185073,1.994394149,99.6330318,True,True,True,True
BIH,Bosnia and Herzegovina,2024,29737363103.0,3164253,3.226799798,94.76017785,True,True,True,True
BLR,Belarus,2015,56454769845.0,9461076,-3.829570568,115.9148262,True,True,True,True
BLR,Belarus,2016,47723545321.0,9469379,-2.526446446,125.2093229,True,True,True,True
BLR,Belarus,2017,54725405751.0,9458989,2.532183495,133.3677547,True,True,True,True
BLR,Belarus,2018,60031026576.0,9438785,3.149197583,139.3937363,True,True,True,True
BLR,Belarus,2019,64410170653.0,9419758,1.446455482,130.8504061,True,True,True,True
BLR,Belarus,2020,61371673345.0,9379952,-0.672742919,118.9341761,True,True,True,True
BLR,Belarus,2021,69673747132.0,9302585,2.438862102,136.0141679,True,True,True,True
BLR,Belarus,2022,73775179925.0,9228071,-4.658395913,120.0242076,True,True,True,True
BLR,Belarus,2023,72478760370.0,9178298,4.126540072,131.5846749,True,True,True,True
BLR,Belarus,2024,78591839300.0,9132629,4.349996381,128.2428323,True,True,True,True
BLZ,Belize,2015,2193095150.0,356333,2.760260274,104.0709588,True,True,True,True
BLZ,Belize,2016,2239604950.0,364705,-0.018741496,96.49983583,True,True,True,True
BLZ,Belize,2017,2266028250.0,373202,-1.833237291,97.70725718,True,True,True,True
BLZ,Belize,2018,2285915050.0,380226,0.822068593,100.9892144,True,True,True,True
BLZ,Belize,2019,2381187850.0,385829,4.2565871,102.4418569,True,True,True,True
BLZ,Belize,2020,2047284600.0,390812,-13.52289971,81.64314331,True,True,True,True
BLZ,Belize,2021,2428606250.0,395346,17.98992441,98.98243694,True,True,True,True
BLZ,Belize,2022,2846604350.0,402733,9.250513295,107.8402501,True,True,True,True
BLZ,Belize,2023,3052362650.0,411106,0.500127942,106.4005059,True,True,True,True
BLZ,Belize,2024,3203631800.0,417072,3.50466435,108.9724465,True,True,True,True
BMU,Bermuda,2015,6654541000.0,63464,0.7755297,73.29549852,True,True,True,True
BMU,Bermuda,2016,6899911000.0,63449,-0.657206304,72.74990938,True,True,True,True
BMU,Bermuda,2017,7142316000.0,63578,3.611419837,72.39242845,True,True,True,True
BMU,Bermuda,2018,7225977000.0,63831,-0.4328013,77.55527038,True,True,True,True
BMU,Bermuda,2019,7423465000.0,64107,0.307106461,77.56010165,True,True,True,True
BMU,Bermuda,2020,6887364000.0,64382,-6.971625715,70.58982217,True,True,True,True
BMU,Bermuda,2021,7290037000.0,64648,4.764978997,72.92709214,True,True,True,True
BMU,Bermuda,2022,7767884000.0,64749,6.256955212,77.9770527,True,True,True,True
BMU,Bermuda,2023,8602360000.0,64698,4.334472804,77.64652956,True,True,True,True
BMU,Bermuda,2024,9194499000.0,64636,1.88822862,80.20608844,True,True,True,True
BOL,Bolivia,2015,33000198249.0,11014705,4.857187185,67.93284519,True,True,True,True
BOL,Bolivia,2016,33941126194.0,11180020,4.26392087,56.4010345,True,True,True,True
BOL,Bolivia,2017,45927439595.0,11344587,4.195206334,45.57611237,True,True,True,True
BOL,Bolivia,2018,48414038842.0,11508368,2.868084048,46.92619534,True,True,True,True
BOL,Bolivia,2019,49056643589.0,11671386,1.506721027,45.82097327,True,True,True,True
BOL,Bolivia,2020,42313784081.0,11816299,-12.71946901,37.51643424,True,True,True,True
BOL,Bolivia,2021,47877892402.0,11937360,10.02904888,47.66708432,True,True,True,True
BOL,Bolivia,2022,50959081954.0,12077154,3.747417812,57.52493358,True,True,True,True
BOL,Bolivia,2023,52340206946.0,12244159,2.516365902,49.60832556,True,True,True,True
BOL,Bolivia,2024,54881327453.0,12413315,-1.123355955,46.97787161,True,True,True,True
BRA,Brazil,2015,1802210000000.0,201675532,-3.545763393,26.95362594,True,True,True,True
BRA,Brazil,2016,1795690000000.0,203218114,-3.275916908,24.53368208,True,True,True,True
BRA,Brazil,2017,2063510000000.0,204703445,1.322869054,24.31973437,True,True,True,True
BRA,Brazil,2018,1916930000000.0,206107261,1.783666762,28.87620338,True,True,True,True
BRA,Brazil,2019,1873290000000.0,207455459,1.220777824,28.89025787,True,True,True,True
BRA,Brazil,2020,1476110000000.0,208660842,-3.276758796,32.30207854,True,True,True,True
BRA,Brazil,2021,1670650000000.0,209550294,4.762604379,37.65633076,True,True,True,True
BRA,Brazil,2022,1951920000000.0,210306415,3.016694354,38.81606598,True,True,True,True
BRA,Brazil,2023,2191130000000.0,211140729,3.241655329,33.66622983,True,True,True,True
BRA,Brazil,2024,2185820000000.0,211998573,3.419315165,35.58452394,True,True,True,True
BRB,Barbados,2015,5699619150.0,278990,-0.772620078,,True,True,True,False
BRB,Barbados,2016,5679029450.0,279598,1.416324468,,True,True,True,False
BRB,Barbados,2017,5847381600.0,280171,0.654655603,,True,True,True,False
BRB,Barbados,2018,6001101550.0,280711,-0.252085326,,True,True,True,False
BRB,Barbados,2019,6166710800.0,281207,0.241099789,,True,True,True,False
BRB,Barbados,2020,5403246950.0,281698,-17.40593147,,True,True,True,False
BRB,Barbados,2021,5948900600.0,282147,8.01987701,,True,True,True,False
BRB,Barbados,2022,6886644900.0,282318,15.94532062,,True,True,True,False
BRB,Barbados,2023,7223248150.0,282336,1.814198178,,True,True,True,False
BRB,Barbados,2024,7597571450.0,282467,3.366949258,,True,True,True,False
BRN,Brunei Darussalam,2015,12930296870.0,422212,-0.39238375,89.89618825,True,True,True,True
BRN,Brunei Darussalam,2016,11400266045.0,427564,-2.477917718,87.31980133,True,True,True,True
BRN,Brunei Darussalam,2017,12128168045.0,432772,1.328726611,85.17686043,True,True,True,True
BRN,Brunei Darussalam,2018,13566908391.0,437810,0.052371042,93.89806177,True,True,True,True
BRN,Brunei Darussalam,2019,13469235365.0,442680,3.868844362,108.5096584,True,True,True,True
BRN,Brunei Darussalam,2020,12005799654.0,447404,1.13357335,110.2910037,True,True,True,True
BRN,Brunei Darussalam,2021,14006496617.0,451721,-1.590762601,147.1231124,True,True,True,True
BRN,Brunei Darussalam,2022,16681536467.0,455370,-1.628331545,146.9739659,True,True,True,True
BRN,Brunei Darussalam,2023,15095084656.0,458949,1.127644182,136.8634347,True,True,True,True
BRN,Brunei Darussalam,2024,15340808592.0,462721,4.052517093,132.5874395,True,True,True,True
BTN,Bhutan,2015,2187815803.0,740618,6.660801289,89.63916046,True,True,True,True
BTN,Bhutan,2016,2357504761.0,747866,8.475943392,76.38475285,True,True,True,True
BTN,Bhutan,2017,2591358009.0,754335,2.086845227,76.78840169,True,True,True,True
BTN,Bhutan,2018,2583335722.0,759759,3.501871857,79.73972033,True,True,True,True
BTN,Bhutan,2019,2735683570.0,764824,5.755148512,76.1235167,True,True,True,True
BTN,Bhutan,2020,2457604334.0,770006,-10.21839742,71.83035104,True,True,True,True
BTN,Bhutan,2021,2768802960.0,775442,4.421367389,77.58244827,True,True,True,True
BTN,Bhutan,2022,2898227744.0,780914,5.213867838,85.57121652,True,True,True,True
BTN,Bhutan,2023,3012896790.0,786385,4.63215703,81.73662785,True,True,True,True
BTN,Bhutan,2024,3346603859.0,791524,7.498562068,79.3625418,True,True,True,True
BWA,Botswana,2015,13530748845.0,2203273,-4.851325074,112.900891,True,True,True,True
BWA,Botswana,2016,15082637184.0,2234776,7.204424759,100.4646898,True,True,True,True
BWA,Botswana,2017,16105155857.0,2266747,4.114378564,81.92395138,True,True,True,True
BWA,Botswana,2018,17031943186.0,2299141,4.188692372,87.45510399,True,True,True,True
BWA,Botswana,2019,16725908149.0,2332083,3.031773395,83.09298136,True,True,True,True
BWA,Botswana,2020,14960251608.0,2365894,-8.72888244,80.32503449,True,True,True,True
BWA,Botswana,2021,18750182236.0,2401441,11.91627244,91.04784974,True,True,True,True
BWA,Botswana,2022,20321150599.0,2439892,5.486017064,86.06960399,True,True,True,True
BWA,Botswana,2023,19413614555.0,2480244,3.208068122,70.11283273,True,True,True,True
BWA,Botswana,2024,19286251068.0,2521139,-2.779889817,69.44535087,True,True,True,True
CAF,Central African Republic,2015,1695825714.0,4629320,4.33712103,53.14514778,True,True,True,True
CAF,Central African Republic,2016,1825018145.0,4713663,4.750316841,50.53064402,True,True,True,True
CAF,Central African Republic,2017,2072349973.0,4793511,4.527278213,57.14354571,True,True,True,True
