reporter_iso,reporter_name,year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp
BHR,Bahrain,2019,40446808511,1483756,2.052877744,135.4175434
BHR,Bahrain,2020,35837632979,1472204,-5.911362952,135.460985
BHR,Bahrain,2021,40840212766,1504365,4.350040917,153.7993165
BHR,Bahrain,2022,46458191489,1524693,6.180161255,167.1412412
BHR,Bahrain,2023,46192260638,1577059,3.878116148,157.4478547
BHR,Bahrain,2024,47210732713,1588670,2.897105432,157.4808694
BHS,"Bahamas, The",2015,11837600000,385346,0.997411675,69.67797527
BHS,"Bahamas, The",2016,11880900000,388055,-1.156508113,67.21292158
BHS,"Bahamas, The",2017,12446900000,390485,3.371398846,68.33428404
BHS,"Bahamas, The",2018,12819200000,392717,2.397955108,72.1542686
BHS,"Bahamas, The",2019,13277000000,394675,-0.838585871,68.78662348
BHS,"Bahamas, The",2020,10363200000,395863,-20.08936649,53.42075807
BHS,"Bahamas, The",2021,12037000000,396373,17.586139,65.93254133
BHS,"Bahamas, The",2022,13896800000,397538,10.87790094,75.98296011
BHS,"Bahamas, The",2023,15271300000,399440,3.048241806,76.54947516
BHS,"Bahamas, The",2024,15832800000,401283,3.378665533,79.24245869
BIH,Bosnia and Herzegovina,2015,16404348361,3518541,4.284130161,88.29199259
BIH,Bosnia and Herzegovina,2016,17116926554,3473003,3.242258222,88.244034
BIH,Bosnia and Herzegovina,2017,18326373136,3428682,3.244098953,96.64588036
BIH,Bosnia and Herzegovina,2018,20484058033,3387000,3.829003993,98.43206942
BIH,Bosnia and Herzegovina,2019,20482608984,3345533,2.885852421,94.51612515
BIH,Bosnia and Herzegovina,2020,20226038370,3299349,-3.015093355,82.5216468
BIH,Bosnia and Herzegovina,2021,23672712121,3244907,7.391642565,96.73911444
BIH,Bosnia and Herzegovina,2022,24534663636,3204802,4.226813334,110.2052837
BIH,Bosnia and Herzegovina,2023,27592361498,3185073,1.994394149,99.6330318
BIH,Bosnia and Herzegovina,2024,29737363103,3164253,3.226799798,94.76017785
BLR,Belarus,2015,56454769845,9461076,-3.829570568,115.9148262
BLR,Belarus,2016,47723545321,9469379,-2.526446446,125.2093229
BLR,Belarus,2017,54725405751,9458989,2.532183495,133.3677547
BLR,Belarus,2018,60031026576,9438785,3.149197583,139.3937363
BLR,Belarus,2019,64410170653,9419758,1.446455482,130.8504061
BLR,Belarus,2020,61371673345,9379952,-0.672742919,118.9341761
BLR,Belarus,2021,69673747132,9302585,2.438862102,136.0141679
BLR,Belarus,2022,73775179925,9228071,-4.658395913,120.0242076
BLR,Belarus,2023,72478760370,9178298,4.126540072,131.5846749
BLR,Belarus,2024,78591839300,9132629,4.349996381,128.2428323
BLZ,Belize,2015,2193095150,356333,2.760260274,104.0709588
BLZ,Belize,2016,2239604950,364705,-0.018741496,96.49983583
BLZ,Belize,2017,2266028250,373202,-1.833237291,97.70725718
BLZ,Belize,2018,2285915050,380226,0.822068593,100.9892144
BLZ,Belize,2019,2381187850,385829,4.2565871,102.4418569
BLZ,Belize,2020,2047284600,390812,-13.52289971,81.64314331
BLZ,Belize,2021,2428606250,395346,17.98992441,98.98243694
BLZ,Belize,2022,2846604350,402733,9.250513295,107.8402501
BLZ,Belize,2023,3052362650,411106,0.500127942,106.4005059
BLZ,Belize,2024,3203631800,417072,3.50466435,108.9724465
BMU,Bermuda,2015,6654541000,63464,0.7755297,73.29549852
BMU,Bermuda,2016,6899911000,63449,-0.657206304,72.74990938
BMU,Bermuda,2017,7142316000,63578,3.611419837,72.39242845
BMU,Bermuda,2018,7225977000,63831,-0.4328013,77.55527038
BMU,Bermuda,2019,7423465000,64107,0.307106461,77.56010165
BMU,Bermuda,2020,6887364000,64382,-6.971625715,70.58982217
BMU,Bermuda,2021,7290037000,64648,4.764978997,72.92709214
BMU,Bermuda,2022,7767884000,64749,6.256955212,77.9770527
BMU,Bermuda,2023,8602360000,64698,4.334472804,77.64652956
BMU,Bermuda,2024,9194499000,64636,1.88822862,80.20608844
BOL,Bolivia,2015,33000198249,11014705,4.857187185,67.93284519
BOL,Bolivia,2016,33941126194,11180020,4.26392087,56.4010345
BOL,Bolivia,2017,45927439595,11344587,4.195206334,45.57611237
BOL,Bolivia,2018,48414038842,11508368,2.868084048,46.92619534
BOL,Bolivia,2019,49056643589,11671386,1.506721027,45.82097327
BOL,Bolivia,2020,42313784081,11816299,-12.71946901,37.51643424
BOL,Bolivia,2021,47877892402,11937360,10.02904888,47.66708432
BOL,Bolivia,2022,50959081954,12077154,3.747417812,57.52493358
BOL,Bolivia,2023,52340206946,12244159,2.516365902,49.60832556
BOL,Bolivia,2024,54881327453,12413315,-1.123355955,46.97787161
BRA,Brazil,2015,1.80221E+12,201675532,-3.545763393,26.95362594
BRA,Brazil,2016,1.79569E+12,203218114,-3.275916908,24.53368208
BRA,Brazil,2017,2.06351E+12,204703445,1.322869054,24.31973437
BRA,Brazil,2018,1.91693E+12,206107261,1.783666762,28.87620338
BRA,Brazil,2019,1.87329E+12,207455459,1.220777824,28.89025787
BRA,Brazil,2020,1.47611E+12,208660842,-3.276758796,32.30207854
BRA,Brazil,2021,1.67065E+12,209550294,4.762604379,37.65633076
BRA,Brazil,2022,1.95192E+12,210306415,3.016694354,38.81606598
BRA,Brazil,2023,2.19113E+12,211140729,3.241655329,33.66622983
BRA,Brazil,2024,2.18582E+12,211998573,3.419315165,35.58452394
BRB,Barbados,2015,5699619150,278990,-0.772620078,
BRB,Barbados,2016,5679029450,279598,1.416324468,
BRB,Barbados,2017,5847381600,280171,0.654655603,
BRB,Barbados,2018,6001101550,280711,-0.252085326,
BRB,Barbados,2019,6166710800,281207,0.241099789,
BRB,Barbados,2020,5403246950,281698,-17.40593147,
BRB,Barbados,2021,5948900600,282147,8.01987701,
BRB,Barbados,2022,6886644900,282318,15.94532062,
BRB,Barbados,2023,7223248150,282336,1.814198178,
BRB,Barbados,2024,7597571450,282467,3.366949258,
BRN,Brunei Darussalam,2015,12930296870,422212,-0.39238375,89.89618825
BRN,Brunei Darussalam,2016,11400266045,427564,-2.477917718,87.31980133
BRN,Brunei Darussalam,2017,12128168045,432772,1.328726611,85.17686043
BRN,Brunei Darussalam,2018,13566908391,437810,0.052371042,93.89806177
BRN,Brunei Darussalam,2019,13469235365,442680,3.868844362,108.5096584
BRN,Brunei Darussalam,2020,12005799654,447404,1.13357335,110.2910037
BRN,Brunei Darussalam,2021,14006496617,451721,-1.590762601,147.1231124
BRN,Brunei Darussalam,2022,16681536467,455370,-1.628331545,146.9739659
BRN,Brunei Darussalam,2023,15095084656,458949,1.127644182,136.8634347
BRN,Brunei Darussalam,2024,15340808592,462721,4.052517093,132.5874395
BTN,Bhutan,2015,2187815803,740618,6.660801289,89.63916046
BTN,Bhutan,2016,2357504761,747866,8.475943392,76.38475285
BTN,Bhutan,2017,2591358009,754335,2.086845227,76.78840169
BTN,Bhutan,2018,2583335722,759759,3.501871857,79.73972033
BTN,Bhutan,2019,2735683570,764824,5.755148512,76.1235167
BTN,Bhutan,2020,2457604334,770006,-10.21839742,71.83035104
BTN,Bhutan,2021,2768802960,775442,4.421367389,77.58244827
BTN,Bhutan,2022,2898227744,780914,5.213867838,85.57121652
BTN,Bhutan,2023,3012896790,786385,4.63215703,81.73662785
BTN,Bhutan,2024,3346603859,791524,7.498562068,79.3625418
BWA,Botswana,2015,13530748845,2203273,-4.851325074,112.900891
BWA,Botswana,2016,15082637184,2234776,7.204424759,100.4646898
BWA,Botswana,2017,16105155857,2266747,4.114378564,81.92395138
BWA,Botswana,2018,17031943186,2299141,4.188692372,87.45510399
BWA,Botswana,2019,16725908149,2332083,3.031773395,83.09298136
BWA,Botswana,2020,14960251608,2365894,-8.72888244,80.32503449
BWA,Botswana,2021,18750182236,2401441,11.91627244,91.04784974
BWA,Botswana,2022,20321150599,2439892,5.486017064,86.06960399
BWA,Botswana,2023,19413614555,2480244,3.208068122,70.11283273
BWA,Botswana,2024,19286251068,2521139,-2.779889817,69.44535087
CAF,Central African Republic,2015,1695825714,4629320,4.33712103,53.14514778
CAF,Central African Republic,2016,1825018145,4713663,4.750316841,50.53064402
CAF,Central African Republic,2017,2072349973,4793511,4.527278213,57.14354571
CAF,Central African Republic,2018,2220979146,4878657,3.789443593,49.6602
CAF,Central African Republic,2019,2221301351,4944703,3.1,50.0658
CAF,Central African Republic,2020,2326720900,5026628,0.899999997,49.52102
CAF,Central African Republic,2021,2516498412,5112100,0.982919996,44.15912
CAF,Central African Republic,2022,2382618615,5098039,0.453901876,45.23357
CAF,Central African Republic,2023,2555492086,5152421,0.699968401,43.48057021
CAF,Central African Republic,2024,2751494281,5330690,1.499999998,46.43189998
CAN,Canada,2015,1.55651E+12,35704498,0.649971015,66.16483558
CAN,Canada,2016,1.528E+12,36110803,1.03855092,65.36361998
CAN,Canada,2017,1.64927E+12,36545075,3.033834918,65.10090879
CAN,Canada,2018,1.72533E+12,37072620,2.742963414,66.59982627
CAN,Canada,2019,1.74373E+12,37618495,1.908431939,66.17134227
CAN,Canada,2020,1.65569E+12,38028638,-5.038233428,61.15668834
CAN,Canada,2021,2.02238E+12,38239864,5.95052805,62.24686126
CAN,Canada,2022,2.20056E+12,38950132,4.69541985,66.95316207
CAN,Canada,2023,2.19659E+12,40049088,1.953085522,66.5745425
CAN,Canada,2024,2.27008E+12,41262329,2.046266054,65.12149873
CHE,Switzerland,2015,7.06199E+11,8282396,1.454503365,116.3700199
CHE,Switzerland,2016,6.98608E+11,8373338,1.911590942,122.9417352
CHE,Switzerland,2017,7.0666E+11,8451840,1.420346122,122.9483956
CHE,Switzerland,2018,7.40767E+11,8514329,3.327432561,123.4998297
CHE,Switzerland,2019,7.36385E+11,8575280,1.115321872,123.0225098
CHE,Switzerland,2020,7.56096E+11,8638167,-2.255257943,121.4511006
CHE,Switzerland,2021,8.4071E+11,8704546,6.176228361,128.0041197
